,loss,categorical_accuracy
0,1.8378255367279053,0.2583487927913666
1,1.708252191543579,0.2458256036043167
2,1.6083873510360718,0.2555658519268036
3,1.536373496055603,0.2509276568889618
4,1.4183841943740845,0.38126158714294434
5,1.2876595258712769,0.4336734712123871
6,1.1505978107452393,0.4679962992668152
7,1.0656949281692505,0.5250464081764221
8,1.0774188041687012,0.5162337422370911
9,1.0367940664291382,0.521799623966217
10,1.0072801113128662,0.5482375025749207
11,0.9662295579910278,0.5524118542671204
12,0.9486124515533447,0.5751391649246216
13,0.9154417514801025,0.5927643775939941
14,0.8957468867301941,0.5890538096427917
15,0.8563554883003235,0.6071428656578064
16,0.8587421178817749,0.5969387888908386
17,0.8532678484916687,0.603432297706604
18,0.7949420213699341,0.6229128241539001
19,0.7430447340011597,0.6447124481201172
20,0.7548975944519043,0.6410018801689148
21,0.7078763842582703,0.6641929745674133
22,0.7147070169448853,0.6572356224060059
23,0.6366891860961914,0.695268988609314
24,0.6297175884246826,0.6859925985336304
25,0.6074457764625549,0.7138218879699707
26,0.5571063160896301,0.7105751633644104
