,loss,reconstruction_loss,vqvae_loss
0,1.00853431224823,1.006719708442688,0.0018147772643715143
1,1.0814085006713867,0.9900214076042175,0.09138693660497665
2,2.510178804397583,0.8612390160560608,1.648939847946167
3,10.188377380371094,0.7359718680381775,9.452404975891113
4,10.17003345489502,0.6979065537452698,9.472123146057129
5,4.044283390045166,0.6864815950393677,3.357801675796509
6,4.12458610534668,0.6736997365951538,3.4508860111236572
7,3.848933458328247,0.6529101729393005,3.1960229873657227
8,3.3007946014404297,0.6017516255378723,2.699043035507202
9,5.49046516418457,0.49708613753318787,4.993380069732666
10,5.490842342376709,0.43550336360931396,5.055339336395264
11,5.011569499969482,0.4150715470314026,4.596498012542725
12,4.578282356262207,0.41732534766197205,4.1609578132629395
13,4.48672342300415,0.40774503350257874,4.078977584838867
14,4.539941787719727,0.38898083567619324,4.150960445404053
15,4.401268005371094,0.37373217940330505,4.0275349617004395
16,4.148880958557129,0.3620246946811676,3.7868568897247314
17,3.847818374633789,0.3560142517089844,3.4918036460876465
18,3.4181766510009766,0.350170761346817,3.068005323410034
19,3.106964349746704,0.34519994258880615,2.7617640495300293
20,2.81679105758667,0.33980175852775574,2.476989507675171
21,2.5749049186706543,0.33441370725631714,2.2404911518096924
22,2.4379053115844727,0.32913467288017273,2.1087703704833984
23,2.3234472274780273,0.32305312156677246,2.0003931522369385
24,2.1719813346862793,0.321458101272583,1.8505237102508545
25,2.067824363708496,0.31909507513046265,1.7487298250198364
26,1.9809505939483643,0.31843045353889465,1.6625205278396606
27,1.884727954864502,0.31773442029953003,1.5669935941696167
28,1.810123085975647,0.3156285583972931,1.4944943189620972
29,1.7495421171188354,0.3146992027759552,1.4348429441452026
30,1.7022658586502075,0.3126656115055084,1.389600157737732
31,1.6710776090621948,0.31059834361076355,1.3604792356491089
32,1.5838086605072021,0.30991116166114807,1.2738977670669556
33,1.5560343265533447,0.30618882179260254,1.2498455047607422
34,1.4990864992141724,0.3036482036113739,1.1954385042190552
35,1.5002936124801636,0.3033643364906311,1.1969293355941772
36,1.4596360921859741,0.3022395074367523,1.1573961973190308
37,1.4259345531463623,0.29822707176208496,1.1277073621749878
38,1.4344189167022705,0.29663053154945374,1.13778817653656
39,1.424698829650879,0.2947130501270294,1.1299856901168823
40,1.4274402856826782,0.2929512858390808,1.1344890594482422
41,1.395812749862671,0.2907763123512268,1.1050361394882202
42,1.3809869289398193,0.29036983847618103,1.0906168222427368
43,1.3583706617355347,0.2894502580165863,1.0689202547073364
44,1.3342193365097046,0.2885482609272003,1.0456711053848267
45,1.3437162637710571,0.2877277433872223,1.0559889078140259
46,1.329443335533142,0.2860255241394043,1.0434179306030273
47,1.3529967069625854,0.2865595817565918,1.0664372444152832
48,1.439050316810608,0.28455665707588196,1.1544935703277588
49,1.343340277671814,0.2817618250846863,1.0615782737731934
